instruction,response
"İşyeri eğitimi ve staj evraklarını en son ne zaman ve hangi birime teslim etmem gerekiyor?
","İşyeri eğitimi ve staj evrakları onaylandıktan sonra dönem başlangıcından en geç 2
hafta önce bölüm sekreterliğine teslim edilmelidir."
İşyeri eğitimi ve staj belgelerini son teslim tarihi ne zaman ve kime ulaştırmalıyım?,"İşyeri eğitimi ve staj evrakları onaylandıktan sonra dönem başlangıcından en geç 2
hafta önce bölüm sekreterliğine teslim edilmelidir."
İşyeri eğitimi ve staj evraklarını en geç hangi tarihe kadar ve hangi yetkiliye teslim etmeliyim?,"İşyeri eğitimi ve staj evrakları onaylandıktan sonra dönem başlangıcından en geç 2
hafta önce bölüm sekreterliğine teslim edilmelidir."
İşyeri eğitimi ve staj belgelerini son teslim tarihi ne zaman ve kime göndermeliyim?,"İşyeri eğitimi ve staj evrakları onaylandıktan sonra dönem başlangıcından en geç 2
hafta önce bölüm sekreterliğine teslim edilmelidir."
İşyeri eğitimi ve staj evraklarını en son hangi tarihte ve kime sunmam gerekiyor?,"İşyeri eğitimi ve staj evrakları onaylandıktan sonra dönem başlangıcından en geç 2
hafta önce bölüm sekreterliğine teslim edilmelidir."
"İşyeri eğitimi evraklarından kaç adet çıkarmalıyım?
","Müstahaklık belgesiyle beraber 1 nüsha defter için öğrenciye, 1 nüsha sigorta girişi
için bölüm sekreterliğine, 1 nüsha staja başlamak için şirket sorumlusuna olmak
üzere ıslak imzalı toplam 3 nüsha çıkarılmalıdır."
Hangi işyeri eğitimi belgelerinden kaç kopya çıkarmalıyım?,"Müstahaklık belgesiyle beraber 1 nüsha defter için öğrenciye, 1 nüsha sigorta girişi
için bölüm sekreterliğine, 1 nüsha staja başlamak için şirket sorumlusuna olmak
üzere ıslak imzalı toplam 3 nüsha çıkarılmalıdır."
İşyeri eğitimi evraklarını kaç kopya olarak hazırlamalıyım?,"Müstahaklık belgesiyle beraber 1 nüsha defter için öğrenciye, 1 nüsha sigorta girişi
için bölüm sekreterliğine, 1 nüsha staja başlamak için şirket sorumlusuna olmak
üzere ıslak imzalı toplam 3 nüsha çıkarılmalıdır."
İşyeri eğitimi belgelerinden kaç tane kopya çıkarmalıyım?,"Müstahaklık belgesiyle beraber 1 nüsha defter için öğrenciye, 1 nüsha sigorta girişi
için bölüm sekreterliğine, 1 nüsha staja başlamak için şirket sorumlusuna olmak
üzere ıslak imzalı toplam 3 nüsha çıkarılmalıdır."
Kaç adet işyeri eğitimi evrağı hazırlamalıyım?,"Müstahaklık belgesiyle beraber 1 nüsha defter için öğrenciye, 1 nüsha sigorta girişi
için bölüm sekreterliğine, 1 nüsha staja başlamak için şirket sorumlusuna olmak
üzere ıslak imzalı toplam 3 nüsha çıkarılmalıdır."
"İşyeri eğitimi ve staj evraklarına nereden erişebilirim?
",İşyeri eğitimi ve staj evraklarına bölümün resmi web sayfasından erişebilirsiniz.
İşyeri eğitimi ve staj belgelerini nereden temin edebilirim?,İşyeri eğitimi ve staj evraklarına bölümün resmi web sayfasından erişebilirsiniz.
İşyeri eğitimi ve staj evraklarına nasıl ulaşabilirim?,İşyeri eğitimi ve staj evraklarına bölümün resmi web sayfasından erişebilirsiniz.
İşyeri eğitimi ve staj dokümanlarına erişim için hangi kanalları kullanabilirim?,İşyeri eğitimi ve staj evraklarına bölümün resmi web sayfasından erişebilirsiniz.
İşyeri eğitimi ve staj evraklarına erişmek için hangi kaynakları kullanmalıyım?,İşyeri eğitimi ve staj evraklarına bölümün resmi web sayfasından erişebilirsiniz.
"İşyeri eğitimi ve staj yapılacak firmaları nasıl bulabilirim?




","Bölümümüz paydaş firmalarına göz atarak anlaşmalı firmalar ile iletişim kurulabilir.
Bölümümüzün paydaş firmalarına bölümün resmi web sayfasından erişebilirsiniz."
Staj ve işyeri eğitimi için uygun firmaları nasıl bulabilirim?,"Bölümümüz paydaş firmalarına göz atarak anlaşmalı firmalar ile iletişim kurulabilir.
Bölümümüzün paydaş firmalarına bölümün resmi web sayfasından erişebilirsiniz."
İşyeri eğitimi ve staj yapabileceğim firmaları nasıl bulabilirim?,"Bölümümüz paydaş firmalarına göz atarak anlaşmalı firmalar ile iletişim kurulabilir.
Bölümümüzün paydaş firmalarına bölümün resmi web sayfasından erişebilirsiniz."
Staj ve işyeri eğitimi için potansiyel firmaları nereden bulabilirim?,"Bölümümüz paydaş firmalarına göz atarak anlaşmalı firmalar ile iletişim kurulabilir.
Bölümümüzün paydaş firmalarına bölümün resmi web sayfasından erişebilirsiniz."
İşyeri eğitimi ve staj yapabileceğim firmaları araştırmak için hangi yolları izlemeliyim?,"Bölümümüz paydaş firmalarına göz atarak anlaşmalı firmalar ile iletişim kurulabilir.
Bölümümüzün paydaş firmalarına bölümün resmi web sayfasından erişebilirsiniz."
"Ders kayıtlarında Yazılım Müh. (MTOK) programındaki öğrenciler ""Yazılım Müh."" programından ders seçimi yapacaklar mı?
",Evet.
"Yazılım Müh. (MTOK) programındaki öğrenciler, ders kaydı yaparken ""Yazılım Müh."" programından mı ders seçecekler?",Evet.
"Yazılım Müh. (MTOK)(İ.Ö) programındaki öğrenciler, ders kaydı sürecinde ""Yazılım Müh. (İ.Ö)"" programından mı ders seçecekler?",Evet.
"Yazılım Müh. (MTOK) programındaki öğrenciler, ders seçimlerini hangi programdan yapacaklar?","Ders kayıtlarında Yazılım Müh. (MTOK) programındaki öğrenciler ""Yazılım Müh."" programından ders seçimi yapacaklar.
"
"Yazılım Müh. (MTOK)(İ.Ö) programındaki öğrenciler, ders seçimi yaparken hangi programı kullanacaklar?","Yazılım Müh. (MTOK)(İ.Ö) programındaki öğrenciler, ders kaydı sürecinde ""Yazılım Müh. (İ.Ö)"" programını kullanacaklar."
"Ders seçimi yaparken Algoritma ve Programlamada hata alıyorum, ne yapmalıyım? (Soruyu soran MTOK öğrencisi)




","Ders seçim ekranında Program olarak sadece ""Yazılım Mühendisliği"" olanı seçiniz,
içinde MTOK geçeni seçmeyiniz."
"Algoritma ve Programlama ders seçiminde sorun yaşıyorum, nasıl çözebilirim? (Soruyu soran MTOK öğrencisi)","Ders seçim ekranında Program olarak sadece ""Yazılım Mühendisliği"" olanı seçiniz,
içinde MTOK geçeni seçmeyiniz."
"Ders seçiminde Algoritma ve Programlama derslerinde hata alıyorum, ne yapmam gerekiyor? (Soruyu soran MTOK öğrencisi)","Ders seçim ekranında Program olarak sadece ""Yazılım Mühendisliği"" olanı seçiniz,
içinde MTOK geçeni seçmeyiniz."
"Algoritma ve Programlama derslerini seçerken problem yaşıyorum, ne yapmalıyım? (Soruyu soran MTOK öğrencisi)","Ders seçim ekranında Program olarak sadece ""Yazılım Mühendisliği"" olanı seçiniz,
içinde MTOK geçeni seçmeyiniz."
"Algoritma ve Programlama ders seçiminde yardıma ihtiyacım var, ne yapmalıyım? (Soruyu soran MTOK öğrencisi)","Ders seçim ekranında Program olarak sadece ""Yazılım Mühendisliği"" olanı seçiniz,
içinde MTOK geçeni seçmeyiniz."
"Fırat Üniversitesi Yazılım Mühendisliği Bölümüne yatay geçiş yaptım ancak hâlâ OBS üzerinde 1. sınıf olarak görünüyorum. Ne yapmalıyım?
","Yatay geçiş yapmak için başvuran öğrencilerin Öğrenci İntibak Formları Yazılım
Mühendisliği Bölümü Kurulunda görüşülür, düzenlenir ve karar altına alınır. Daha
sonra Teknoloji Fakültesi Dekanlığına ve Öğrenci İşleri Daire Başkanlığına iletilir.
Süreç bu şekilde takip edilmelidir."
Yatay geçiş yaptım ama OBS'de hâlâ 1. sınıf olarak görünüyorum ve ders kayıtları başladı. Süreç nasıl işliyor ve ne yapmam gerekiyor?,"Yatay geçiş yapmak için başvuran öğrencilerin Öğrenci İntibak Formları Yazılım
Mühendisliği Bölümü Kurulunda görüşülür, düzenlenir ve karar altına alınır. Daha
sonra Teknoloji Fakültesi Dekanlığına ve Öğrenci İşleri Daire Başkanlığına iletilir.
Süreç bu şekilde takip edilmelidir."
Yazılım Mühendisliği bölümüne yatay geçiş yaptım ancak hâlâ önceki bölümümün derslerine kayıtlıyım. Bu durumu nasıl düzeltebilirim?,"Yatay geçiş yapmak için başvuran öğrencilerin Öğrenci İntibak Formları Yazılım
Mühendisliği Bölümü Kurulunda görüşülür, düzenlenir ve karar altına alınır. Daha
sonra Teknoloji Fakültesi Dekanlığına ve Öğrenci İşleri Daire Başkanlığına iletilir.
Süreç bu şekilde takip edilmelidir."
OBS'de hâlâ eski bölümümün dersleri görünüyor ve ders kayıtları başladı. Yatay geçiş sürecinde hangi adımları izlemeliyim?,"Yatay geçiş yapmak için başvuran öğrencilerin Öğrenci İntibak Formları Yazılım
Mühendisliği Bölümü Kurulunda görüşülür, düzenlenir ve karar altına alınır. Daha
sonra Teknoloji Fakültesi Dekanlığına ve Öğrenci İşleri Daire Başkanlığına iletilir.
Süreç bu şekilde takip edilmelidir."
Yatay geçiş yaptım fakat hâlâ OBS'de eski bölümümün dersleri gözüküyor. Ne yapmalıyım ve süreç nasıl işliyor?,"Yatay geçiş yapmak için başvuran öğrencilerin Öğrenci İntibak Formları Yazılım
Mühendisliği Bölümü Kurulunda görüşülür, düzenlenir ve karar altına alınır. Daha
sonra Teknoloji Fakültesi Dekanlığına ve Öğrenci İşleri Daire Başkanlığına iletilir.
Süreç bu şekilde takip edilmelidir."
"Harcı hangi tarihe kadar yatırmalıyız?




","Harç (katkı payı) ile ilgili bilgi Fırat Üniversitesi www.firat.edu.tr web sayfasında
Akademik Takvimde belirtilmiştir."
Ödemem gereken harç bedelini ne zaman yatırmam gerekiyor?,"Harç (katkı payı) ile ilgili bilgi Fırat Üniversitesi www.firat.edu.tr web sayfasında
Akademik Takvimde belirtilmiştir."
Harç yatırma süresiyle ilgili son tarih nedir?,"Harç (katkı payı) ile ilgili bilgi Fırat Üniversitesi www.firat.edu.tr web sayfasında
Akademik Takvimde belirtilmiştir."
Öğrenim ücretimi ne zamana kadar ödemem gerekiyor?,"Harç (katkı payı) ile ilgili bilgi Fırat Üniversitesi www.firat.edu.tr web sayfasında
Akademik Takvimde belirtilmiştir."
Harç bedelini ödeme tarihiyle ilgili bilgi alabilir miyim?,"Harç (katkı payı) ile ilgili bilgi Fırat Üniversitesi www.firat.edu.tr web sayfasında
Akademik Takvimde belirtilmiştir."
"Harç ödemelerini nereye yapmalıyız?
","Harç (katkı payı) Ziraat Bankası ATM’lerinden Öğrenci numarası ile
yatırılabilmektedir. Harç ile ilgili sorunlarda Fırat Üniversitesi Fon Saymanlığı
Birimine başvurmanız gerekmektedir."
Harç yatırma işlemi için hangi yöntemleri kullanabiliriz?,"Harç (katkı payı) Ziraat Bankası ATM’lerinden Öğrenci numarası ile
yatırılabilmektedir. Harç ile ilgili sorunlarda Fırat Üniversitesi Fon Saymanlığı
Birimine başvurmanız gerekmektedir."
Öğrenim ücretini nereye yatırmalıyız?,"Harç (katkı payı) Ziraat Bankası ATM’lerinden Öğrenci numarası ile
yatırılabilmektedir. Harç ile ilgili sorunlarda Fırat Üniversitesi Fon Saymanlığı
Birimine başvurmanız gerekmektedir."
Harç bedelini ödeme için hangi kanalları kullanabiliriz?,"Harç (katkı payı) Ziraat Bankası ATM’lerinden Öğrenci numarası ile
yatırılabilmektedir. Harç ile ilgili sorunlarda Fırat Üniversitesi Fon Saymanlığı
Birimine başvurmanız gerekmektedir."
Harç ödemeleri için hangi ödeme seçenekleri mevcut?,"Harç (katkı payı) Ziraat Bankası ATM’lerinden Öğrenci numarası ile
yatırılabilmektedir. Harç ile ilgili sorunlarda Fırat Üniversitesi Fon Saymanlığı
Birimine başvurmanız gerekmektedir."
"Hazırlık sınıfında olan öğrenciler harç yatırmalı mı?




","İster 1.sınıf ister Hazırlık sınıfı olsun Harcı (katkı payı) öncelikle ikinci öğretim (İÖ)
öğrencileri yatıracaktır. Örgün öğretim öğrencileri yatırmayacaktır. Ancak örgün
öğretim olup ikinci fakültesi için öğrenim görecekler harç yatıracaktır."
Hazırlık öğrencileri harç bedelini ödemeli mi?,"İster 1.sınıf ister Hazırlık sınıfı olsun Harcı (katkı payı) öncelikle ikinci öğretim (İÖ)
öğrencileri yatıracaktır. Örgün öğretim öğrencileri yatırmayacaktır. Ancak örgün
öğretim olup ikinci fakültesi için öğrenim görecekler harç yatıracaktır."
Ön lisans hazırlık sınıfındaki öğrenciler harç (katkı payı) ödeyecek mi?,"İster 1.sınıf ister Hazırlık sınıfı olsun Harcı (katkı payı) öncelikle ikinci öğretim (İÖ)
öğrencileri yatıracaktır. Örgün öğretim öğrencileri yatırmayacaktır. Ancak örgün
öğretim olup ikinci fakültesi için öğrenim görecekler harç yatıracaktır."
Hazırlık dönemi öğrencileri harç ödemesi yapacak mı?,"İster 1.sınıf ister Hazırlık sınıfı olsun Harcı (katkı payı) öncelikle ikinci öğretim (İÖ)
öğrencileri yatıracaktır. Örgün öğretim öğrencileri yatırmayacaktır. Ancak örgün
öğretim olup ikinci fakültesi için öğrenim görecekler harç yatıracaktır."
Hazırlık programında olan öğrenciler harç (katkı payı) yatırmalı mıdır?,"İster 1.sınıf ister Hazırlık sınıfı olsun Harcı (katkı payı) öncelikle ikinci öğretim (İÖ)
öğrencileri yatıracaktır. Örgün öğretim öğrencileri yatırmayacaktır. Ancak örgün
öğretim olup ikinci fakültesi için öğrenim görecekler harç yatıracaktır."
"Ders kayıt esnasında Türk Dili dersi seçilemiyor, ne yapmalıyım?




","OBS sisteminde ders seçme ekranında Birim olarak “Rektörlük Servis” seçilmeli
sonar Program olarak “Rektörlük Servis (Uzaktan Eğt.)” veya “Rektörlük Servis
(Uzaktan Eğt.) (İ.Ö.)” seçilerek aramada Türk Dili dersinin bulunabilir."
"Türk Dili dersini ders kaydı sırasında seçemiyorum, bu durumu nasıl çözebilirim?","OBS sisteminde ders seçme ekranında Birim olarak “Rektörlük Servis” seçilmeli
sonar Program olarak “Rektörlük Servis (Uzaktan Eğt.)” veya “Rektörlük Servis
(Uzaktan Eğt.) (İ.Ö.)” seçilerek aramada Türk Dili dersinin bulunabilir."
Ders kaydı sürecinde Türk Dili dersi seçeneği neden görünmüyor ve çözümü nedir?,"OBS sisteminde ders seçme ekranında Birim olarak “Rektörlük Servis” seçilmeli
sonar Program olarak “Rektörlük Servis (Uzaktan Eğt.)” veya “Rektörlük Servis
(Uzaktan Eğt.) (İ.Ö.)” seçilerek aramada Türk Dili dersinin bulunabilir."
"Ders kaydı sırasında Türk Dili dersini seçememek normal mi? Eğer değilse, çözümü nedir?","OBS sisteminde ders seçme ekranında Birim olarak “Rektörlük Servis” seçilmeli
sonar Program olarak “Rektörlük Servis (Uzaktan Eğt.)” veya “Rektörlük Servis
(Uzaktan Eğt.) (İ.Ö.)” seçilerek aramada Türk Dili dersinin bulunabilir."
Ders kaydı aşamasında Türk Dili dersinin seçilememesi durumunda nasıl hareket etmeliyim?,"OBS sisteminde ders seçme ekranında Birim olarak “Rektörlük Servis” seçilmeli
sonar Program olarak “Rektörlük Servis (Uzaktan Eğt.)” veya “Rektörlük Servis
(Uzaktan Eğt.) (İ.Ö.)” seçilerek aramada Türk Dili dersinin bulunabilir."
"Güncellediğim öğrenci fotoğrafımın onaylanması için hangi adımları izlemeliyim?
","Öncelikle güncellenen fotoğrafın resmi standartlara uygun olması gerekmektedir.
Sonrasında onaylama için Yazılım Mühendisliği Bölüm Sekreterliği ile irtibata geçmeniz gerekmektedir."
"Öğrenci fotoğrafımı güncelledim, onay süreci nasıl işliyor ve ne yapmam gerekiyor?
","Öncelikle güncellenen fotoğrafın resmi standartlara uygun olması gerekmektedir.
Sonrasında onaylama için Yazılım Mühendisliği Bölüm Sekreterliği ile irtibata geçmeniz gerekmektedir."
Yenilediğim öğrenci fotoğrafımın onaylanması için gereken prosedür nedir?,"Öncelikle güncellenen fotoğrafın resmi standartlara uygun olması gerekmektedir.
Sonrasında onaylama için Yazılım Mühendisliği Bölüm Sekreterliği ile irtibata geçmeniz gerekmektedir."
Fotoğrafımı güncelledim ancak onaylanması için nasıl bir yol izlemeliyim?,"Öncelikle güncellenen fotoğrafın resmi standartlara uygun olması gerekmektedir.
Sonrasında onaylama için Yazılım Mühendisliği Bölüm Sekreterliği ile irtibata geçmeniz gerekmektedir."
"Öğrenci fotoğrafımı değiştirdim, onay süreci için nasıl bir başvuru yapmalıyım?","Öncelikle güncellenen fotoğrafın resmi standartlara uygun olması gerekmektedir.
Sonrasında onaylama için Yazılım Mühendisliği Bölüm Sekreterliği ile irtibata geçmeniz gerekmektedir."
"İsteğe bağlı hazırlık sınıfını seçtim, Yabancı Diller Yüksekokuluna kayıt olmak için hangi adımları takip etmeliyim?
",Fırat Üniversitesi Yabancı Diller Yüksekokulunun resmi web sayfası adresi ydyo.firat.edu.tr dir. Bu sayfadaki duyuruları dikkatlice takip etmelisiniz.
"Yabancı Diller Yüksekokulu kaydı için isteğe bağlı hazırlık sınıfını tercih ettim, kayıt süreci nasıl işliyor?",Fırat Üniversitesi Yabancı Diller Yüksekokulunun resmi web sayfası adresi ydyo.firat.edu.tr dir. Bu sayfadaki duyuruları dikkatlice takip etmelisiniz.
"İsteğe bağlı hazırlık sınıfını seçtim, Yabancı Diller Yüksekokulu kaydı için gerekli olan prosedürler nelerdir?",Fırat Üniversitesi Yabancı Diller Yüksekokulunun resmi web sayfası adresi ydyo.firat.edu.tr dir. Bu sayfadaki duyuruları dikkatlice takip etmelisiniz.
"Yabancı Diller Yüksekokulu'na kayıt olmak için isteğe bağlı hazırlık sınıfını seçtim, şimdi ne yapmalıyım?",Fırat Üniversitesi Yabancı Diller Yüksekokulunun resmi web sayfası adresi ydyo.firat.edu.tr dir. Bu sayfadaki duyuruları dikkatlice takip etmelisiniz.
"İsteğe bağlı hazırlık sınıfı tercih ettim, Yabancı Diller Yüksekokulu kaydı için başvuru süreci nasıl işliyor?",Fırat Üniversitesi Yabancı Diller Yüksekokulunun resmi web sayfası adresi ydyo.firat.edu.tr dir. Bu sayfadaki duyuruları dikkatlice takip etmelisiniz.
"Uzaktan eğitim sistemine nasıl erişebilirim?
","Uzaktan Eğitim (UE) ue.firat.edu.tr adresinde bulunmaktadır. Ders kayıtları
tamamlanma sürecinde ya da onaylandıktan sonra girebilirsiniz."
Uzaktan eğitim platformuna giriş yapmak için hangi adımları takip etmeliyim?,"Uzaktan Eğitim (UE) ue.firat.edu.tr adresinde bulunmaktadır. Ders kayıtları
tamamlanma sürecinde ya da onaylandıktan sonra girebilirsiniz."
Uzaktan eğitim sistemine nereden ve nasıl giriş yapabilirim?,"Uzaktan Eğitim (UE) ue.firat.edu.tr adresinde bulunmaktadır. Ders kayıtları
tamamlanma sürecinde ya da onaylandıktan sonra girebilirsiniz."
Uzaktan eğitim için kullanılacak platforma nasıl erişim sağlayabilirim?,"Uzaktan Eğitim (UE) ue.firat.edu.tr adresinde bulunmaktadır. Ders kayıtları
tamamlanma sürecinde ya da onaylandıktan sonra girebilirsiniz."
Uzaktan eğitim sistemine erişmek için hangi web sitesini veya uygulamayı kullanmalıyım?,"Uzaktan Eğitim (UE) ue.firat.edu.tr adresinde bulunmaktadır. Ders kayıtları
tamamlanma sürecinde ya da onaylandıktan sonra girebilirsiniz."
"e-Devlet üzerinden kaydımı yaptım, işlem tamamlandı mı?




",OBS’ye obs.firat.edu.tr adresine giriş yapabiliyorsanız kayıt olmuşsunuz demektir.
"Kaydımı e-Devlet üzerinden yaptım, başvurumun durumunu nasıl kontrol edebilirim?",OBS’ye obs.firat.edu.tr adresine giriş yapabiliyorsanız kayıt olmuşsunuz demektir.
"e-Devlet üzerinden kayıt işlemini tamamladım, başvurumun onaylanıp onaylanmadığını nasıl öğrenebilirim?",OBS’ye obs.firat.edu.tr adresine giriş yapabiliyorsanız kayıt olmuşsunuz demektir.
"e-Devlet üzerinden kayıt işlemini gerçekleştirdim, başvurumun sonucunu nasıl öğrenebilirim?",OBS’ye obs.firat.edu.tr adresine giriş yapabiliyorsanız kayıt olmuşsunuz demektir.
"Kaydımı e-Devlet üzerinden yaptım, başvurumun kabul edilip edilmediğini nasıl öğrenebilirim?",OBS’ye obs.firat.edu.tr adresine giriş yapabiliyorsanız kayıt olmuşsunuz demektir.
"Danışman hocamın kim olduğunu nasıl öğrenebilirim ve iletişim kurmak için ne yapmalıyım?




",Akademik danışmanınızı Öğrenci Bilgi Sistemi (OBS) üzerinden öğrenebilirsiniz.
Danışman hocamın iletişim bilgilerini nereden bulabilirim ve nasıl ulaşabilirim?,Akademik danışmanınızı Öğrenci Bilgi Sistemi (OBS) üzerinden öğrenebilirsiniz.
Danışman hocamın kim olduğunu ve iletişim bilgilerini öğrenmek için hangi adımları izlemeliyim?,Akademik danışmanınızı Öğrenci Bilgi Sistemi (OBS) üzerinden öğrenebilirsiniz.
Danışman hocamı nasıl bulabilirim ve iletişim kurmak için hangi kanalları kullanabilirim?,Akademik danışmanınızı Öğrenci Bilgi Sistemi (OBS) üzerinden öğrenebilirsiniz.
Danışman hocamın iletişim bilgilerine nasıl erişebilirim ve onunla nasıl iletişim kurabilirim?,Akademik danışmanınızı Öğrenci Bilgi Sistemi (OBS) üzerinden öğrenebilirsiniz.
"Sınav programında ortak derslerin sınavlarını bulamıyorum, bu bilgilere nereden ulaşabilirim?
",Ortak sınav programı Teknoloji Fakültesi web sayfasında ilan edilmektedir
Ortak derslerin sınav programı nerede yayınlanıyor ve nasıl erişebilirim?,Ortak sınav programı Teknoloji Fakültesi web sayfasında ilan edilmektedir
"Sınav programında ortak derslerin sınavlarını göremiyorum, bu bilgilere nasıl ulaşabilirim ve nereden kontrol etmeliyim?",Ortak sınav programı Teknoloji Fakültesi web sayfasında ilan edilmektedir
Ortak derslerin sınav programını nereden bulabilirim ve bu bilgilere nasıl erişebilirim?,Ortak sınav programı Teknoloji Fakültesi web sayfasında ilan edilmektedir
"Sınav programında ortak derslerin sınavlarını bulamıyorum, bu bilgileri nasıl öğrenebilirim ve nereden kontrol etmeliyim?",Ortak sınav programı Teknoloji Fakültesi web sayfasında ilan edilmektedir
"Öğrenci belgesi ve transkripti nasıl alabilirim ve bu süreç nasıl işliyor?
","Öğrenci belgesi e-devlet üzerinden temin edilebilir. Transkript belgesi ise Fırat
Üniversitesi Öğrenci İşleri’nden temin edilmektedir."
Öğrenci belgesi ve transkripti nereden ve nasıl talep edebilirim?,"Öğrenci belgesi e-devlet üzerinden temin edilebilir. Transkript belgesi ise Fırat
Üniversitesi Öğrenci İşleri’nden temin edilmektedir."
Öğrenci belgesi ve transkripti için başvuru nasıl yapılır ve hangi adımları izlemem gerekir?,"Öğrenci belgesi e-devlet üzerinden temin edilebilir. Transkript belgesi ise Fırat
Üniversitesi Öğrenci İşleri’nden temin edilmektedir."
Öğrenci belgesi ve transkripti almak için hangi ofise veya birime başvurmalıyım?,"Öğrenci belgesi e-devlet üzerinden temin edilebilir. Transkript belgesi ise Fırat
Üniversitesi Öğrenci İşleri’nden temin edilmektedir."
Öğrenci belgesi ve transkripti talebimi nereye ve hangi yöntemle iletmeliyim?,"Öğrenci belgesi e-devlet üzerinden temin edilebilir. Transkript belgesi ise Fırat
Üniversitesi Öğrenci İşleri’nden temin edilmektedir."
"İkinci öğretim öğrencileri olarak harç ödemek zorunda mıyız?
",İkinci Öğretim öğrencileri harç yatırmaktadır.
İkinci öğretimde okuyan öğrenciler katkı payı ödemesi yapmalı mı?,İkinci Öğretim öğrencileri harç yatırmaktadır.
İkinci öğretim programına kayıtlı öğrencilerin harç yatırması gerekiyor mu?,İkinci Öğretim öğrencileri harç yatırmaktadır.
İkinci öğretimde öğrenim görenler harç öder mi?,İkinci Öğretim öğrencileri harç yatırmaktadır.
İkinci öğretim öğrencileri her dönem harç ödemek zorunda mı?,İkinci Öğretim öğrencileri harç yatırmaktadır.
"Akademik Takvim ne anlama geliyor ve nerede bulabilirim?
","Akademik Takvim, öğrencinin ve personelin bir akademik yıl için kullanacağı bir
zamanlama rehberidir. Akademik Takvim’e
Üniversitenin resmi web sayfasından ulaşabilirsiniz."
Üniversitenin akademik takvimine nasıl ulaşabilirim?,"Akademik Takvim, öğrencinin ve personelin bir akademik yıl için kullanacağı bir
zamanlama rehberidir. Akademik Takvim’e
Üniversitenin resmi web sayfasından ulaşabilirsiniz."
"Akademik takvim hakkında bilgi almak istiyorum, nereden bakmalıyım?","Akademik Takvim, öğrencinin ve personelin bir akademik yıl için kullanacağı bir
zamanlama rehberidir. Akademik Takvim’e
Üniversitenin resmi web sayfasından ulaşabilirsiniz."
"Akademik takvim nedir, üniversitenin sitesinde nerede bulabilirim?","Akademik Takvim, öğrencinin ve personelin bir akademik yıl için kullanacağı bir
zamanlama rehberidir. Akademik Takvim’e
Üniversitenin resmi web sayfasından ulaşabilirsiniz."
Akademik takvim bilgilerine nasıl erişebilirim?,"Akademik Takvim, öğrencinin ve personelin bir akademik yıl için kullanacağı bir
zamanlama rehberidir. Akademik Takvim’e
Üniversitenin resmi web sayfasından ulaşabilirsiniz."
"Ders kaydı ne demektir ve nasıl gerçekleştirilir?
","Ders kayıt, bir dönemde alınması gereken derslerin Akademik Takvim zamanına
uygun olarak alınması demektir. Öğrenci İşleri Bilgi Sistemi’nden (OBS) adresinden giriş yapılarak ders kaydı gerçekleştirilmektedir."
Ders kayıt işlemi nedir ve nasıl yapılır?,"Ders kayıt, bir dönemde alınması gereken derslerin Akademik Takvim zamanına
uygun olarak alınması demektir. Öğrenci İşleri Bilgi Sistemi’nden (OBS) adresinden giriş yapılarak ders kaydı gerçekleştirilmektedir."
Üniversitede ders kayıtları nasıl yapılır?,"Ders kayıt, bir dönemde alınması gereken derslerin Akademik Takvim zamanına
uygun olarak alınması demektir. Öğrenci İşleri Bilgi Sistemi’nden (OBS) adresinden giriş yapılarak ders kaydı gerçekleştirilmektedir."
Ders kayıt süreci nedir ve nasıl tamamlanır?,"Ders kayıt, bir dönemde alınması gereken derslerin Akademik Takvim zamanına
uygun olarak alınması demektir. Öğrenci İşleri Bilgi Sistemi’nden (OBS) adresinden giriş yapılarak ders kaydı gerçekleştirilmektedir."
"Ders kaydını nasıl yaparım, bu işlem nedir?","Ders kayıt, bir dönemde alınması gereken derslerin Akademik Takvim zamanına
uygun olarak alınması demektir. Öğrenci İşleri Bilgi Sistemi’nden (OBS) adresinden giriş yapılarak ders kaydı gerçekleştirilmektedir."
"A205 ve A206 sınıflarını nerede bulabilirim?
",Teknoloji Fakültesi A Blok 2. kattadır.
A205-A206 numaralı derslikler hangi binadadır?,Teknoloji Fakültesi A Blok 2. kattadır.
A205 ve A206 dersliklerine nasıl ulaşabilirim?,Teknoloji Fakültesi A Blok 2. kattadır.
A205-A206 sınıfları kampüsün hangi bölümündedir?,Teknoloji Fakültesi A Blok 2. kattadır.
A205 ve A206 derslikleri üniversitede nerede yer alıyor?,Teknoloji Fakültesi A Blok 2. kattadır.
"D101 ve D105 numaralı derslikler hangi binadadır?
",Teknoloji Fakültesi D Blok 1. kattadır.
D101-D105 sınıflarına nasıl ulaşabilirim?,Teknoloji Fakültesi D Blok 1. kattadır.
D101 ve D105 derslikleri kampüsün neresindedir?,Teknoloji Fakültesi D Blok 1. kattadır.
D101-D105 sınıfları nerede bulunur?,Teknoloji Fakültesi D Blok 1. kattadır.
D101 ve D105 sınıflarını nerede bulabilirim?,Teknoloji Fakültesi D Blok 1. kattadır.
"C101 ve C105 numaralı derslikler hangi binada bulunuyor?
",Teknoloji Fakültesi C Blok 1. kattadır.
C101-C105 sınıflarına nasıl ulaşabilirim?,Teknoloji Fakültesi C Blok 1. kattadır.
C101 ve C105 derslikleri kampüsün neresinde yer alıyor?,Teknoloji Fakültesi C Blok 1. kattadır.
C101-C105 sınıfları nerede bulunur?,Teknoloji Fakültesi C Blok 1. kattadır.
